,coconut_id,unique_smiles
205537,CNP0076669,O=C1OC2C=C(COC(=O)C)C3C(O)OC=C1C23
205539,CNP0212264,O=C(O)C=CC=CC=CC=CC(=O)OC1CCC2(OC2)C(C1OC)C3(OC3CC=C(C)C)C
205540,CNP0168331,O(C1=CC=C2C(=C1OC)C(OC)OC3C4=CC(OC)=C(OC)C=C4CCN(C)C23)C
205541,CNP0152797,O=C(OC1C2C=C(C)CCC3C(C=C(C(=O)C2(OC(=O)C)CC1C)C)C3(C)C)C
205542,CNP0167853,O=C1C=COC(=C1OC)C
205543,CNP0103911,O=C(OC1C(=C)C2CC13C(C4OC42)C56COC3(O)C(OC(=O)C)C6C(C)(C)CCC5)C
205546,CNP0196950,O=C(O)C1=COC(OC2OC(CO)C(O)C(O)C2OC(=O)C=CC3=CC=C(OC)C=C3)C4C1CC(O)C4C
205547,CNP0238286,O=CC1=CCCC2(OC2C3OC(=O)C(=C)C3C(OC(=O)C(=C)C)C1)C
205550,CNP0209297,O=C(OCC12C(OC(=O)C)CC(C)C(C)(C3OC4OC(OC)CC4C3)C2CC(O)C(OC(=O)C(C)C)C51OC5)C
205551,CNP0276023,OC=1C=CC=2C=C(C3=CC=C(O)C=4C=CC(OC43)(C)C)COC2C1
205566,CNP0119522,O=CC(O)C(O)COP(=O)(O)O
205569,CNP0218791,O=C(OCC=1C=CC=CC1)C=CC=2C=CC=CC2
205570,CNP0175036,O=C1OC(CC=2C=CC=C(O)C12)C(NC(=O)C(C)C(O)C(O)C(N)CC)CC(C)C
205573,CNP0129628,O=C(OCC1=CC(=O)C2(OC2C1O)CC3C(=C)CCC4C(C)(C)C(O)CCC34C)CC(O)C
205574,CNP0313258,O=C1C2=C(CCC3C(C(=O)CCC23C)(C)C)C4(C)CCC(C(C)CCC=C(C)C)C(O)(C)C14
205580,CNP0425333,O=CC(=C)CCC1C(=C)CC(OC(=O)C=2C=CC=CC2)C3C(C(=O)OC)CCCC13C
205583,CNP0124026,O=C(O)C1N2C(=O)C(N)C2SC1(C)C
205584,CNP0073500,O=C1OC(C)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(O)CO)CC(C)C)C)CC(C)C)CC(C)C)C(C)CC)CCCNC(=N)N)CC(C)C)CC(C)C)C(C)C)CCCCN)CC(C)C)C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC1CCCCN)CCCCN)C)CC(C)C
